player_id,current_club_id,first_name,last_name,name,position,sub_position,age,market_value_in_eur,current_club_name,competition_name,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
475959,23826,Josko,Gvardiol,Josko Gvardiol,Defender,Centre-Back,20,75000000,RB Leipzig,bundesliga,24(6),2171.0,0.8,1.1,0.7,0.5,2.3,0.4,0.6,1,6.67
258004,281,Rúben,Dias,Rúben Dias,Defender,Centre-Back,25,75000000,Manchester City,premier-league,22(4),1999.0,0.8,0.7,0.7,0.5,2.1,0.3,0.5,-,6.79
472423,631,Reece,James,Reece James,Defender,Right-Back,23,70000000,Chelsea FC,premier-league,14(2),1244.0,1.9,0.8,0.6,0.2,1.3,0.3,0.1,-,7.07
398073,583,Achraf,Hakimi,Achraf Hakimi,Defender,Right-Back,24,70000000,Paris Saint-Germain,ligue-1,23(5),2053.0,1.9,0.6,1,-,0.5,1.0,0.1,-,6.94
424204,27,Alphonso,Davies,Alphonso Davies,Defender,Left-Back,22,70000000,Bayern Munich,bundesliga,24(2),2049.0,1.7,0.9,0.3,0.2,0.7,0.8,0.2,-,7.14
182712,27,João,Cancelo,João Cancelo,Defender,Right-Back,28,70000000,Bayern Munich,bundesliga,11(4),1015.0,1.5,1,0.7,-,1,0.9,0.1,-,7.2
314353,31,Trent,Alexander-Arnold,Trent Alexander-Arnold,Defender,Right-Back,24,70000000,Liverpool FC,premier-league,34(3),2932.0,1.5,1.2,0.6,0.3,1.0,1.0,0.2,-,7.11
475411,631,Wesley,Fofana,Wesley Fofana,Defender,Centre-Back,22,65000000,Chelsea FC,premier-league,12(3),1187.0,2.0,1.3,0.7,0.3,2.2,0.9,0.7,-,6.65
204069,46,Milan,Skriniar,Milan Skriniar,Defender,Centre-Back,27,60000000,Inter Milan,serie-a,20(1),1770.0,1.4,0.6,1.7,0.3,2.2,0.7,0.6,1,6.44
401530,418,Éder,Militão,Éder Militão,Defender,Centre-Back,24,60000000,Real Madrid,laliga,30(3),2703.0,1.4,1.3,1.1,0.5,3.0,0.2,1.2,-,7.03
